frame,passer,receiver
6,3,1
16,10,3
25,10,3
41,10,3
45,3,10
50,10,3
55,40,3
62,10,3
67,10,1
74,40,3
83,40,3
91,3,10
101,3,89
105,89,3
112,3,89
122,3,10
125,10,1
128,1,10
134,3,10
146,3,1
157,3,10
164,10,3
178,3,1
183,1,3
190,1,10
195,1,10
201,10,119
204,119,10
215,10,3
235,131,136
242,136,133
245,133,136
250,136,133
254,133,136
267,133,136
274,133,136
279,136,133
287,136,171
293,171,136
301,136,133
305,136,133
323,136,185
335,185,136
338,136,185
346,136,185
353,136,133
362,133,209
393,133,209
396,209,133
399,133,235
440,235,209
443,209,235
446,235,209
574,284,316
584,316,302
594,302,316
601,302,316
620,316,417
663,417,508
666,508,417
692,417,500
703,417,288
728,288,284
834,284,604
876,284,485
898,485,622
917,622,485
1007,485,766
1026,775,766
1029,766,775
1035,775,766
1047,775,284
1092,284,485
1097,485,902
1119,902,485
1123,902,485
1136,902,485
1168,485,998
1198,880,1005
1281,1005,770
1306,770,1059
1351,1059,1101
1366,1059,1122
1376,1122,1059
1395,1059,1138
1421,1059,1129
1429,1129,1163
1435,1166,1168
1440,1168,1129
1444,1129,1059
1459,1129,1059
1487,1129,1188
1493,1188,1059
1649,1220,1227
1654,1227,1220
1660,1220,1222
1672,1220,1227
1679,1227,1243
1688,1243,1220
1699,1220,1227
1715,1227,1243
1735,1243,1339
1787,1243,1358
1794,1358,1360
1802,1360,1362
1812,1362,1358
1886,1358,1385
1902,1389,1388
1905,1388,1385
1908,1385,1388
1936,1408,1430
1943,1430,1437
1963,1408,1438
1974,1438,1408
1979,1408,1451
1983,1451,1408
1991,1476,1408
1995,1408,1476
2002,1408,1438
2008,1438,1451
2011,1451,1438
2018,1498,1408
2027,1408,1498
2035,1438,1408
2045,1408,1498
2057,1408,1400
2066,1556,1543
2074,1543,1556
2081,1556,1543
2098,1543,1475
2109,1475,1543
2118,1543,1605
2122,1605,1543
2125,1543,1605
2136,1543,1623
2142,1623,1543
2145,1543,1623
2150,1623,1543
2158,1623,1543
2169,1623,1543
2186,1623,1542
2258,1543,1542
2277,1542,1664
2297,1664,1680
2315,1680,1653
2320,1680,1668
2327,1653,1712
2330,1712,1718
2336,1718,1653
2340,1733,1739
2352,1653,1712
2359,1712,1718
2370,1712,1718
2379,1718,1794
2450,1794,1780
2455,1780,1830
2493,1830,1870
2509,1873,1888
2516,1888,1897
2534,1888,1917
2542,1917,1940
2553,1940,1955
2559,1955,1940
2570,1940,1955
2581,1955,2001
2585,2001,2003
2636,2003,2021
2643,2021,2003
2687,2033,2077
2690,2077,2033
2699,2033,2123
2721,2123,2149
2731,2149,2159
2765,2159,2181
2768,2181,2194
2772,2194,2181
2802,2181,2247
2863,2247,2277
2869,2277,2300
2877,2300,2289
2881,2295,2289
2888,2295,2309
2891,2309,2314
2894,2314,2325
2897,2325,2332
2900,2332,2340
2905,2338,2344
2908,2344,2247
2914,2247,2373
2920,2373,2247
2935,2384,2393
2938,2393,2407
2943,2407,2413
2954,2413,2407
3082,2516,2561
3103,2599,2618
3113,2599,2637
3121,2599,2637
3125,2637,2599
3131,2637,2744
3144,2599,2808
3149,2808,2836
3166,2836,2945
3172,2945,2836
3179,2945,2836
3185,2836,2945
3189,2836,2808
3194,2808,3048
3197,3048,2637
3205,2637,2961
3221,2637,3186
3229,2637,3186
3236,3186,2961
3262,2961,3259
3268,3259,2961
3278,3259,3276
3281,3276,3259
3294,3276,3298
3298,3298,2961
3302,2961,3267
3316,3333,3325
3335,3325,3387
3363,3387,3330
3445,3330,3315
3457,3315,3342
3464,3342,3318
3487,3318,3371
3493,3371,3400
3500,3400,3540
3515,3371,3443
3520,3443,3371
3551,3371,3559
3557,3559,3371
3612,3371,3603
3619,3603,3371
3628,3371,3623
3636,3623,3633
3640,3672,3371
3665,3371,3719
3668,3719,3749
3671,3749,3719
3677,3719,3371
3695,3371,3748
3702,3748,3790
3709,3371,3790
3716,3773,3371
3741,3371,3858
3747,3858,3371
3756,3371,3858
3761,3858,3371
3765,3371,3814
3770,3814,3894
3777,3858,3901
3783,3901,3888
3789,3888,3894
3795,3901,3943
3805,3943,3970
3813,3969,3901
3821,3901,3949
3828,3949,3969
3836,3949,3993
3843,3993,3949
3851,3993,4003
3860,4003,4021
3865,4021,4003
3872,4003,4036
3876,4036,4053
3879,4053,4062
3895,4053,4076
3907,4053,4084
3934,4053,4091
3937,4091,4093
3952,4093,4091
3955,4091,4093
4117,4137,4152
4137,4152,4160
4323,4163,4164
4357,4164,4184
4397,4186,4185
4402,4185,4186
4513,4186,4192
4519,4198,4192
4523,4192,4198
4552,4223,4224
4708,4224,4241
4720,4242,4280
4740,4280,4290
4748,4356,4353
4757,4359,4357
4771,4356,4357
4792,4357,4415
4805,4415,4356
4827,4356,4357
4833,4357,4356
4840,4356,4357
4848,4357,4356
4862,4443,4465
4872,4465,4500
4882,4443,4356
4886,4356,4443
4895,4356,4443
4904,4443,4570
4923,4570,4590
4948,4590,4603
4967,4603,4443
4977,4443,4603
4984,4443,4603
4990,4603,4443
4993,4443,4603
5027,4603,4570
5032,4570,4443
5049,4443,4677
5056,4443,4725
5060,4725,4443
5066,4443,4570
5069,4570,4725
5073,4725,4570
